country,date,population_density,total_population,urban_population_pct,fertility_rate,age_dependency_ratio,life_expectancy,infant_mortality,gdp_per_capita,gross_capital_form_pct,inflation_rate,trade_pct_gdp,fdi_inflows_pct,country-year,gdp_growth,country_code
Brazil,1988,17.2079382494191,0.09706972373756716,72.342,3.112,67.3311883032781,65.161,56.1,0.020653014742653526,24.3442266859346,629.114509120897,17.7672447097778,0.910738734536583,Brazil 1988,6.712256301038466,1
Brazil,1989,17.5281787574747,0.09895549359723038,73.139,3.007,66.5069630207701,65.514,54.1,0.02785415173069272,26.9027870382664,1430.7237251472,14.3908776472134,0.273855965905703,Brazil 1989,31.688618730388328,1
Brazil,1990,17.8440685367797,0.10081564373378182,73.922,2.896,65.5936848281802,65.862,52.0,0.025329178076099298,20.1677066020429,2947.73277248299,15.1555990810218,0.256909930150916,Brazil 1990,-8.43744287018755,1
Brazil,1991,18.1528732469186,0.10263407269655613,74.69,2.805,64.5785829304948,66.203,49.8,0.02189462636067809,19.768768868394,432.786661926461,16.5920777626646,0.32201174402017,Brazil 1991,-12.534474791940998,1
Brazil,1992,18.458063516524,0.10443121764670238,75.444,2.71,63.4594433992393,66.539,47.4,0.020511465499374697,18.9345399423489,951.962053052818,19.2533747878959,0.62798622938011,Brazil 1992,-5.771276267850823,1
Brazil,1993,18.7595059427097,0.10620629302731624,76.181,2.66,62.2792179837673,66.892,44.9,0.022863562654958085,20.8463552065145,1927.38079016026,19.5993205474635,0.350808564777038,Brazil 1993,10.415284096529387,1
Brazil,1994,19.0550775651042,0.10794679756332083,76.903,2.603,61.0835822645126,67.293,42.4,0.03294675237642634,22.1455629464805,2075.88839757325,18.6747597961023,0.584731354072149,Brazil 1994,40.437528909352196,1
Brazil,1995,19.3506058764271,0.10968704705753227,77.61,2.567,59.8683636570242,67.701,39.8,0.04842494545328747,17.2923463458623,66.0070335542481,16.9844599991956,0.631586020354494,Brazil 1995,44.20015072762267,1
Brazil,1996,19.6458241905496,0.1114254711006772,78.302,2.511,58.6481917241943,68.108,37.4,0.052908862401218885,17.2669463759545,15.7576656002606,15.6355914758682,1.47596541135756,Brazil 1996,8.879639534291961,1
Brazil,1997,19.9400415642715,0.11315800100116584,79.048,2.468,57.440167947103,68.505,35.1,0.05418557789575051,17.7639856110956,6.92671251629155,16.5762092613247,2.15045305915354,Brazil 1997,2.322123058194503,1
